StateA,State,District,Year,Dcandidate,Rcandidate,Ocandidate,Dpercent,Rpercent,Opercent,IncumbentParty,Winner,Margin,IncOverPerformance,P2024,P2020,P2016,P2012,P2008,P2004,P2000,Evs,Redistricted,Polls,Chance,Median
,House,CA18,2026,Zoe Lofgren,Peter Hernandez,,,,,D,,,-0.3000000000000007,29.5,45.02,51.82,47.31,,,,,,,1.0,35.0
,House,CA19,2026,Jimmy Panetta,Jason Anderson,,,,,D,,,4.200000000000003,34.4,40.52,42.13,34.81,,,,,,,1.0,42.6
,House,CA20,2026,,Vince Fong,,,,,R,,,0,-30.3,-25.46,-32.59,-33.62,,,,,,,0.04764705882352941,-14.299999999999997
,House,CA21,2026,Jim Costa,Michael Maher,,,,,D,,,1.21,3.79,20.7,22.98,18.68,,,,,,,0.9787825577992391,11.79
,House,CA22,2026,Rudy Salas,David Valadao,,,,,R,,,-0.9699999999999998,-5.83,13.21,16.82,11.17,,,,,,,0.5733099209833187,0.6999999999999993
,House,CA23,2026,Derek Marshall,Jay Obernolte,,,,,R,,,-3.34,-16.86,-10.07,-15.76,-15.2,,,,,,,0.14135206321334504,-7.699999999999999
,House,CA24,2026,Salud Carbajal,Thomas Cole,,,,,D,,,0.3999999999999986,25,29.76,27.02,16.91,,,,,,,1.0,31.369999999999997
,House,CA25,2026,Raul Ruiz,Ian Weeks,,,,,D,,,10.33,2.47,15.61,18.28,11.52,,,,,,,0.9900497512437811,15.97
,House,CA26,2026,Julia Brownley,Michael Koslow,,,,,D,,,-1.0,13.2,20.4,18.35,5.21,,,,,,,1.0,19.7
,House,CA27,2026,George Whitehouse,Mike Garcia,,,,,D,,,-1.29,3.89,12.64,10.35,1.33,,,,,,,0.9970734562481709,11.6
,House,CA28,2026,Judy Chu,April Verlato,,,,,D,,,2.8599999999999994,26.94,34.56,36.54,24.53,,,,,,,1.0,34.44
,House,CA29,2026,Luz Rivas,Benito Bernal,,,,,D,,,4.800000000000004,34.8,52.47,64.82,57.97,,,,,,,1.0,43.6
,House,CA30,2026,Laura Friedman,Alex Balekian,,,,,D,,,-4.300000000000004,41.1,47.08,55.99,49.33,,,,,,,1.0,43.3
,House,CA31,2026,Gil Cisneros,Daniel Martinez,,,,,D,,,2.5,16.9,31.69,39.43,31.34,,,,,,,1.0,24.4
,House,CA32,2026,Brad Sherman,Larry Thompson,,,,,D,,,1.0999999999999979,31.3,41.48,47.48,33.31,,,,,,,1.0,37.8
,House,CA33,2026,Pete Aguilar,Tom Herman,,,,,D,,,8.870000000000001,8.73,25.93,31.64,27.91,,,,,,,0.9963418203102137,20.23
,House,CA34,2026,Jimmy Gomez,,,,,,D,,,0,50.64,65.79,78.14,72.2,,,,,,,1.0,46.317499999999995
,House,CA35,2026,Norma Torres,Mike Cargile,,,,,D,,,6.530000000000001,10.27,28.59,36.61,30.7,,,,,,,0.9963418203102137,20.27
,House,CA36,2026,Ted Lieu,Melissa Toomin,,,,,D,,,-1.7100000000000009,39.11,45.05,47.22,29,,,,,,,1.0,43.4
,House,CA37,2026,Sydney Kamlager-Dove,,Juan Rey,,,,D,,,-3.789999999999999,60.39,74.69,84.74,82.97,,,,,,,1.0,63.1
,House,CA38,2026,Linda Sanchez,Eric Ching,,,,,D,,,3.520000000000003,16.08,30.82,38.03,28.04,,,,,,,1.0,24.1
,House,CA39,2026,Mark Takano,David Serpa,,,,,D,,,3.710000000000001,9.69,26.71,30.59,25.93,,,,,,,0.9980977465613111,18.2825
,House,CA40,2026,Joe Kerr,Young Kim,,,,,R,,,-8.28,-2.32,1.91,-4.57,-13.85,,,,,,,0.6281826163301142,2.1799999999999997
,House,CA41,2026,Will Rollins,Ken Calvert,,,,,R,,,2.53,-5.93,-1.11,-6.36,-9.5,,,,,,,0.844161545215101,4.7925
,House,CA42,2026,Robert Garcia,John Briscoe,,,,,D,,,3.770000000000003,32.43,46.95,53.98,44.68,,,,,,,1.0,40.43
,House,CA43,2026,Maxine Waters,Steve Williams,,,,,D,,,1.240000000000002,48.96,65.22,76.18,73.95,,,,,,,1.0,55.46
,House,CA44,2026,Nanette Barrragan,Roger Groh,,,,,D,,,8.979999999999997,33.82,49.37,59.73,54.25,,,,,,,1.0,44.32
,House,CA45,2026,Derek Tran,Michelle Steel,,,,,D,,,-1.34,1.54,6.3,14.06,0.01,,,,,,,0.9891717881182324,9.7
,House,CA46,2026,Lou Correa,David Pan,,,,,D,,,9.07,17.73,31.08,41.99,27.14,,,,,,,1.0,28.73
,House,CA47,2026,Dave Min,Scott Baugh,,,,,D,,,-1.37,4.17,11.32,7.9,-8.16,,,,,,,0.9986830553116769,11.9325
,House,CA48,2026,Stephen Houlahan,Darrell Issa,,,,,R,,,-3.290000000000001,-15.31,-12.61,-21.04,-26.58,,,,,,,0.22914837576821773,-5.810000000000002
,House,CA49,2026,Mike Levin,Matt Gunderson,,,,,D,,,-3.3599999999999994,7.76,11.67,5.95,-8.34,,,,,,,1.0,14.4
,House,CA50,2026,Scott Peters,Peter Bono,,,,,D,,,-0.9499999999999993,29.55,33.9,29.08,12.42,,,,,,,1.0,34.6
,House,CA51,2026,Sara Jacobs,Bill Wells,,,,,D,,,-2.09,23.49,27.95,24.52,12.63,,,,,,,1.0,28.4
,House,CA52,2026,Juan Vargas,Justin Lee,,,,,D,,,11.41,21.19,37.64,49.16,36.36,,,,,,,1.0,32.69
,House,CO01,2026,Diana DeGette,Valdamar Archuleta,,,,,D,,,-0.8999999999999986,55.9,62.72,59.07,50.54,,,,,,,1.0,61.0
,House,CO02,2026,Joe Neguse,Marshall Dawson,,,,,D,,,-0.29999999999999716,39.8,40.94,33.34,27.19,,,,,,,1.0,45.3
,House,CO03,2026,Adam Frisch,Jeff Hurd,,,,,R,,,4.699999999999999,-9.7,-8.45,-15.29,-7.18,,,,,,,0.7196371085747731,3.3000000000000007
,House,CO04,2026,Trisha Calvarese,Lauren Boebert,,,,,R,,,6.700000000000001,-18.3,-19.03,-29.92,-27.42,,,,,,,0.35894059116183785,-2.5999999999999996
,House,CO05,2026,River Gassen,Jeff Crank,,,,,R,,,-4.700000000000001,-9.1,-10.5,-24.2,-20.42,,,,,,,0.46283289435177055,-0.6000000000000014
,House,CO06,2026,Jason Crow,John Fabbricatore,,,,,D,,,0.6999999999999993,19.8,24.43,14.44,8.31,,,,,,,1.0,27.0
,House,CO07,2026,Brittany Pettersen,Sergei Matveyuk,,,,,D,,,-0.9000000000000004,15,14.58,3.24,2.73,,,,,,,1.0,22.6
,House,CO08,2026,Yadira Caraveo,Gabe Evans,,,,,R,,,1.0,-1.8,4.68,-1.92,7.93,,,,,,,0.9515657009072286,7.2
,House,CT01,2026,John Larson,Jim Griffin,,,,,D,,,5.859999999999999,22.94,28.51,24.34,28.53,,,,,,,1.0,32.44
,House,CT02,2026,Joe Courtney,Mike France,,,,,D,,,8.280000000000001,7.72,11.71,3.58,13.19,,,,,,,1.0,21.0
,House,CT03,2026,Rosa DeLauro,Michael Massey,,,,,D,,,1.9700000000000006,13.83,19.98,14.46,25.97,,,,,,,1.0,22.3
,House,CT04,2026,Jim Himes,Michael Goldstein,,,,,D,,,0.360000000000003,23.24,31.64,25.48,11.97,,,,,,,1.0,29.6
,House,CT05,2026,Jahana Hayes,George Logan,,,,,D,,,1.2199999999999998,5.38,10.91,4.4,8.72,,,,,,,1.0,14.805
,House,DEAL,2026,Sarah McBride,John Whalen,,,,,D,,,1.0600000000000005,14.74,19.25,12,18.9,,,,,,,1.0,22.8
,House,FL01,2026,,,,,,,OPEN,,,0,-37.22,-32.88,-40.1,-38.18,,,,,,,0.005706760316066725,-22.22
,House,FL10,2026,Maxwell Frost,Willie Montague,,,,,D,,,2.1900000000000013,22.61,32.15,33.92,26.74,,,,,,,1.0,29.8
,House,FL02,2026,Yen Bailey,Neal Dunn,,,,,R,,,-5.129999999999999,-18.07,-11.11,-12.43,-8.01,,,,,,,0.09628328943517706,-9.895
,House,FL03,2026,Tom Wells,Kat Cammack,,,,,R,,,-2.09,-21.11,-14.24,-15.34,-11.24,,,,,,,0.07872402692420252,-11.11
,House,FL04,2026,LaShonda Holloway,Aaron Bean,,,,,R,,,-2.7699999999999996,-11.83,-6.78,-10.87,-8.67,,,,,,,0.30523851331577406,-3.099999999999998
,House,FL05,2026,Jay McGovern,John Rutherford,,,,,R,,,-4.870000000000001,-21.33,-15.98,-23.06,-28.14,,,,,,,0.08604038630377524,-12.329999999999998
,House,FL06,2026,,,,,,,OPEN,,,0,-30.02,-23.89,-24.3,-12.81,,,,,,,0.028094820017559263,-18.5
,House,FL07,2026,Jennifer Adams,Cory Mills,,,,,R,,,-0.4900000000000002,-12.51,-5.61,-8.13,-5.71,,,,,,,0.30523851331577406,-2.6899999999999995
,House,FL08,2026,Sandy Kennedy,Mike Haridopolos,,,,,R,,,-2.0299999999999976,-22.37,-17.84,-21.64,-14.85,,,,,,,0.09072285630670178,-11.870000000000001
,House,FL09,2026,Darren Soto,Thomas Chalifoux,,,,,D,,,8.98,3.52,17.6,27.49,24.15,,,,,,,0.9847819724904887,15.969999999999999
,House,FL11,2026,Barbie Hall,Daniel Webster,,,,,R,,,-4.560000000000002,-16.24,-10.96,-15.56,-15.41,,,,,,,0.15159496634474687,-7.739999999999998
,House,FL12,2026,Rock Aboujaoude Jr.,Gus Bilirakis,,,,,R,,,-7.469999999999999,-34.53,-29.01,-29.61,-10.03,,,,,,,0.002341235001463272,-26.03
,House,FL13,2026,Whitney Fox,Anna Paulina Luna,,,,,R,,,2.210000000000001,-11.81,-6.84,-8.22,0.13,,,,,,,0.4588820602868013,-0.5999999999999996
,House,FL14,2026,Kathy Castor,Rocky Rochford,,,,,D,,,7.670000000000001,7.63,19.4,22.79,22.66,,,,,,,0.9997073456248171,19.13
,House,FL15,2026,Pat Kemp,Laurel Lee,,,,,R,,,-1.2400000000000002,-11.16,-3.17,-4.02,-1.99,,,,,,,0.34225929177641207,-2.16
,House,FL16,2026,Jan Schneider,Vern Buchanan,,,,,R,,,-3.4800000000000004,-15.52,-8.98,-13.18,-11.16,,,,,,,0.1635937957272461,-6.6850000000000005
,House,FL17,2026,Manny Lopez,Greg Steube,,,,,R,,,-3.879999999999999,-23.92,-16.07,-17.16,-9.35,,,,,,,0.03263096283289435,-14.420000000000002
,House,FL18,2026,Andrea Doria Kale,Scott Franklin,,,,,R,,,-1.1700000000000017,-29.43,-23.04,-22.17,-11.24,,,,,,,0.014486391571553995,-18.1
,House,FL19,2026,,,,,,,OPEN,,,0,-29.05,-21.18,-23.95,-23.6,,,,,,,0.028094820017559263,-17.549999999999997
,House,FL20,2026,Sheila Cherfilus-McCormick,,,,,,D,,,0,39.69,52.68,58.47,61.63,,,,,,,1.0,38.644999999999996
,House,FL21,2026,Thomas Witkop,Brian Mast,,,,,R,,,-7.100000000000001,-16.5,-9.5,-10.59,-4.9,,,,,,,0.10272168568920105,-9.5
,House,FL22,2026,Lois Frankel,Daniel Franzese,,,,,D,,,4.45,5.55,17.72,20.72,22.49,,,,,,,0.9976587649985367,15.55
,House,FL23,2026,Jared Moskowitz,Joe Kaufman,,,,,D,,,2.92,1.88,13.27,14.6,11.71,,,,,,,0.9925373134328358,11.8
,House,FL24,2026,Frederica Wilson,Jesus Navarro,,,,,D,,,6.449999999999999,29.95,49.33,64.86,66.85,,,,,,,1.0,39.45
,House,FL25,2026,Debbie Wasserman Schultz,Chris Eddy,,,,,D,,,3.71,5.29,20.03,29.31,26.72,,,,,,,0.9912203687445127,14.5
,House,FL26,2026,Joey Atkins,Mario Diaz-Balart,,,,,R,,,-6.919999999999995,-34.88,-18.43,3.67,-0.6,,,,,,,0.0,-27.299999999999997
,House,FL27,2026,Lucia Baez-Geller,Maria Elvira Salazar,,,,,R,,,-6.190000000000001,-14.61,-0.32,17.87,5.07,,,,,,,0.05150717003219198,-9.3
,House,FL28,2026,Phil Her,Carlos A. Gimenez,,,,,R,,,-3.84,-25.36,-6.38,16.09,10.45,,,,,,,0.0,-17.732499999999998
,House,GA01,2026,,,,,,,OPEN,,,0,-16.5,-13.4,-16.5,-14,,,,,,,0.2497805092186128,-5.5
,House,GA02,2026,Sanford Bishop,Wayne Johnson,,,,,D,,,5.109999999999999,7.49,10.3,9.1,14.8,,,,,,,1.0,18.990000000000002
,House,GA03,2026,Maura Keller,Brian Jack,,,,,R,,,-1.6400000000000006,-30.96,-30.1,-35.5,-36.4,,,,,,,0.038191395961369626,-19.96
,House,GA04,2026,Hank Johnson,Eugene Yu,,,,,D,,,-1.0,52.2,57.7,55.3,50,,,,,,,1.0,57.2
,House,GA05,2026,Nikema Williams,John Salvesen,,,,,D,,,-0.6899999999999977,72.09,72.8,55.4,65.6,,,,,,,1.0,77.4
,House,GA06,2026,Lucy McBath,Jeff Criswell,,,,,D,,,-0.5900000000000034,49.99,49.5,42.4,31.8,,,,,,,1.0,55.4
,House,GA07,2026,Bob Christian,Rich McCormick,,,,,R,,,-8.7,-21.1,-19.2,-30.1,-46.4,,,,,,,0.1141352063213345,-13.600000000000001
,House,GA08,2026,Darrius Butler,Austin Scott,,,,,R,,,-6.489999999999998,-31.31,-27.6,-30.7,-25.8,,,,,,,0.013169446883230905,-22.799999999999997
,House,GA09,2026,Tambrei Cash,Andrew Clyde,,,,,R,,,-3.0799999999999983,-34.92,-32.3,-40.7,-47.2,,,,,,,0.009218612818261633,-24.92
,House,GA10,2026,,,,,,,OPEN,,,0,-21.85,-21.3,-27.2,-28.6,,,,,,,0.20149253731343283,-10.350000000000001
,House,GA11,2026,Kate Stamper,Barry Loudermilk,,,,,R,,,-10.880000000000003,-23.72,-21.9,-31.2,-41.6,,,,,,,0.08150424348844015,-16.72
,House,GA12,2026,Liz Johnson,Rick Allen,,,,,R,,,-6.540000000000001,-14.06,-10.2,-13.2,-9.2,,,,,,,0.1925665788703541,-6.635000000000002
,House,GA13,2026,David Scott,Jonathan Chavez,,,,,D,,,1.2199999999999989,42.38,40.5,29.3,19.6,,,,,,,1.0,48.88
,House,GA14,2026,Shawn Harris,Marjorie Taylor Greene,,,,,R,,,8.559999999999999,-37.36,-37.5,-44.9,-45,,,,,,,0.08443078724026924,-18.799999999999997
,House,HI01,2026,Ed Case,Patrick Largey,,,,,D,,,18.860000000000003,24.74,29.93,34.87,41.45,,,,,,,1.0,39.239999999999995
,House,HI02,2026,Jill Tokuda,Steve Bond,,,,,D,,,14.679999999999996,21.62,30.19,34.9,45.33,,,,,,,1.0,34.620000000000005
,House,IA01,2026,Christina Bohannan,Mariannette Miller-Meeks,,,,,R,,,8.23,-8.43,-2.94,-3.27,13.38,,,,,,,0.8005560433128476,5.645
,House,IA02,2026,,,,,,,OPEN,,,0,-9.96,-4.48,-4.92,13.03,,,,,,,0.47278314310798947,-0.47000000000000064
,House,IA03,2026,Lanon Baccam,Zach Nunn,,,,,R,,,0.5899999999999999,-4.39,-0.35,-3.28,5.95,,,,,,,0.8693298214808312,5.109999999999999
,House,IA04,2026,,,,,,,OPEN,,,0,-31.36,-26.48,-28.89,-9.26,,,,,,,0.028094820017559263,-19.86
,House,ID01,2026,Kaylee Peterson,Russ Fulcher,,,,,R,,,-0.5399999999999991,-45.06,-39.26,-43.85,-33.92,,,,,,,0.0,-33.56
,House,ID02,2026,David Roth,Mike Simpson,,,,,R,,,-3.6799999999999997,-26.72,-23.71,-29,-31.7,,,,,,,0.04945858940591162,-16.9
,House,IL01,2026,Jonathan Jackson,Marcus Lewis,,,,,D,,,-0.3999999999999986,32,42.97,50.01,55.89,,,,,,,1.0,37.5
,House,IL02,2026,,,,,,,OPEN,,,0,33.1,40.58,44.14,46.85,,,,,,,1.0,39.1
,House,IL03,2026,Delia Ramirez,John Booras,,,,,D,,,3.400000000000002,31.2,42.27,47.47,38.3,,,,,,,1.0,39.1
,House,IL04,2026,Chuy Garcia,Lupe Castillo,,,,,D,,,5.400000000000002,28.3,47.28,53.81,43.44,,,,,,,1.0,37.3
,House,IL05,2026,Mike Quigley,Tommy Hanson,,,,,D,,,0.5999999999999943,37.2,40.5,41.15,23.11,,,,,,,1.0,43.3
,House,IL06,2026,Sean Casten,Niki Conforti,,,,,D,,,2.6999999999999993,5.5,11.08,8.86,1.24,,,,,,,1.0,15.56
,House,IL07,2026,,,,,,,OPEN,,,0,65.6,74,79.56,75.74,,,,,,,1.0,71.1
,House,IL08,2026,,,,,,,OPEN,,,0,6.9,15.7,16.74,9.6,,,,,,,1.0,15.8
,House,IL09,2026,,,,,,,OPEN,,,0,36.5,42.06,45.12,32.73,,,,,,,1.0,35.22
,House,IL10,2026,Brad Schneider,Jim Carris,,,,,D,,,-2.1999999999999993,22,26.36,24.54,10.73,,,,,,,1.0,26.8
,House,IL11,2026,Bill Foster,Jerry Evans,,,,,D,,,-0.20000000000000107,11.4,15.63,11.46,2.05,,,,,,,1.0,19.2
,House,IL12,2026,Brian Roberts,Mike Bost,,,,,R,,,-4.899999999999999,-43.5,-43.56,-45.04,-26.03,,,,,,,0.0001463271875914545,-34.0
,House,IL13,2026,Nikki Budzinski,Joshua Loyd,,,,,D,,,3.9000000000000004,10.7,11.48,8.93,14.42,,,,,,,1.0,21.2
,House,IL14,2026,Lauren Underwood,Jim Marter,,,,,D,,,3.3999999999999995,5.2,11.69,9.21,7.97,,,,,,,1.0,15.6
,House,IL15,2026,,Mary Miller,,,,,R,,,0,-39.9,-39.56,-40.96,-24.13,,,,,,,0.00392156862745098,-21.034999999999997
,House,IL16,2026,,Darin LaHood,,,,,R,,,0,-22.7,-22.01,-25.77,-17.21,,,,,,,0.20137254901960785,-7.932499999999997
,House,IL17,2026,Eric Sorensen,Joe McGraw,,,,,D,,,3.8,4.8,7.98,7.16,17.35,,,,,,,1.0,15.8
,House,IN01,2026,Frank J. Mvran,Randy Niemeyer,,,,,D,,,8.2,0.3,8.49,12.54,23.67,,,,,,,0.9932689493707931,13.504999999999999
,House,IN02,2026,Lori Camp,Rudy Yakym,,,,,R,,,-1.7000000000000028,-26.4,-23,-26.76,-16.82,,,,,,,0.05896985659935616,-15.459999999999997
,House,IN03,2026,Kiley Adolph,Marlin Sutzman,,,,,R,,,-2.0,-31.6,-30.55,-36.26,-25.73,,,,,,,0.03189932689493708,-20.6
,House,IN04,2026,Derrick Holder,Jim Baird,,,,,R,,,-5.099999999999998,-29.7,-29.81,-36.49,-27.64,,,,,,,0.04038630377524144,-20.299999999999997
,House,IN05,2026,Deborah Pickett,Victoria Spartz,,,,,R,,,-1.9000000000000021,-16.7,-16.27,-25.08,-20.46,,,,,,,0.23997658764998536,-6.199999999999999
,House,IN06,2026,Cinde Wirth,Jefferson Shreve,,,,,R,,,0.8999999999999986,-33.1,-32.62,-39.74,-28.97,,,,,,,0.04184957565115598,-20.6
,House,IN07,2026,Andre Carson,John Schmitz,,,,,D,,,-2.1000000000000014,41.4,43.14,38.03,33.93,,,,,,,1.0,45.4
,House,IN08,2026,Erik Hurt,Mark Messmer,,,,,R,,,-2.1000000000000014,-36.5,-33.45,-36.01,-19.32,,,,,,,0.002341235001463272,-25.6
,House,IN09,2026,Tim Peck,Erin Houchin,,,,,R,,,-1.3000000000000007,-30.4,-27.9,-29.93,-15.18,,,,,,,0.02868012876792508,-19.200000000000003
,House,KS01,2026,Paul Buskirk,Tracey Mann,,,,,R,,,-7.460000000000001,-31.14,-30.25,-36.4,-34.19,,,,,,,0.02633889376646181,-22.64
,House,KS02,2026,Nancy Boyda,Derek Schmidt,,,,,R,,,0.6400000000000006,-19.44,-16.7,-20.27,-11.71,,,,,,,0.17793386011120865,-7.800000000000001
,House,KS03,2026,Sharice Davids,Prasanth Reddy,,,,,D,,,6.680000000000001,4.12,4.55,-5.82,-17.31,,,,,,,1.0,17.62
,House,KS04,2026,Esau Freeman,Ron Estes,,,,,R,,,-6.84,-23.56,-22.26,-29.3,-26.01,,,,,,,0.08574773192859234,-15.059999999999999
,House,KY01,2026,Erin Marshall,James Comer,,,,,R,,,-2.1199999999999974,-47.28,-43.4,-46.05,-32.27,,,,,,,0.0,-36.4
,House,KY02,2026,Hank Linderman,Brett Guthrie,,,,,R,,,-4.890000000000001,-41.31,-27.9,-41.75,-27.97,,,,,,,0.0,-31.810000000000002
,House,KY03,2026,Morgan McGarvey,Mike Craven,,,,,D,,,5.09,18.91,20.5,16.35,13.71,,,,,,,1.0,28.91
,House,KY04,2026,,Thomas Massie,,,,,R,,,0,-35.54,-33.2,-38.88,-29.21,,,,,,,0.01647058823529412,-17.689999999999998
,House,KY05,2026,,Hal Rogers,,,,,R,,,0,-63.87,-60.2,-61.82,-49.51,,,,,,,0.0,-40.08375
,House,KY06,2026,,,,,,,OPEN,,,0,-15.76,-10.9,-18.78,-17.4,,,,,,,0.2774363476733977,-5.017499999999999
,House,LA01,2026,Mel Manuel,Steve Scalise,,,,,R,,,-4.6299999999999955,-38.17,-39.1,-42.3,-46,,,,,,,0.005706760316066725,-28.67
,House,LA02,2026,Troy Carter,Christy Lynch,,,,,D,,,15.460000000000004,31.24,35.7,35.1,37.2,,,,,,,1.0,43.739999999999995
,House,LA03,2026,Preiscilla Gonzalez,Clay Higgins,,,,,R,,,-6.8799999999999955,-45.02,-42.6,-42.4,-39.5,,,,,,,0.0,-36.52
,House,LA04,2026,,Mike Johnson,,,,,R,,,0,-52.33,-49.5,-49.7,-46.8,,,,,,,0.0,-31.50125
,House,LA05,2026,Michael Vallien Jr.,Julia Letlow,,,,,R,,,-0.6300000000000026,-36.37,-30,-34.5,-32.6,,,,,,,0.0007316359379572724,-24.869999999999997
,House,LA06,2026,Cleo Fields,Elbert Guillory,,,,,D,,,-1.7400000000000002,14.84,19.9,19.2,20.8,,,,,,,1.0,20.9
,House,MA01,2026,Richard Neal,,Nadia Milleron,,,,D,,,11.480000000000002,13.62,22.1,18.94,27.83,,,,,,,1.0,27.1
,House,MA02,2026,Jim McGovern,,Cornelius Shea,,,,D,,,14.32,23.18,31.51,25.9,21.45,,,,,,,1.0,36.38
,House,MA03,2026,Lori Trahan,,,,,,D,,,0,18.68,28,23.14,15.31,,,,,,,1.0,23.68
,House,MA04,2026,Jake Auchincloss,,,,,,D,,,0,17.17,29,24.35,19.07,,,,,,,1.0,22.17
,House,MA05,2026,Katherine Clark,,,,,,D,,,0,34.65,51.99,46.68,33.54,,,,,,,1.0,34.9675
,House,MA06,2026,Seth Moulton,,,,,,D,,,0,20.27,28.1,19.61,11.11,,,,,,,1.0,25.45
,House,MA07,2026,Ayanna Pressley,,,,,,D,,,0,62.35,73.44,75.51,69.23,,,,,,,1.0,56.192499999999995
,House,MA08,2026,Stephen Lynch,Robert Burke,,,,,D,,,15.8,25.2,36.07,29.59,19.56,,,,,,,1.0,38.2
,House,MA09,2026,Bill Keating,Dan Sullivan,,,,,D,,,4.51,8.49,18.51,10.66,9.74,,,,,,,1.0,18.8625
,House,MD01,2026,Blane Miller,Andy Harris,,,,,R,,,-5.290000000000003,-16.81,-14.83,-24.47,-17.43,,,,,,,0.19242025168276267,-8.130000000000003
,House,MD02,2026,Johnny Olszewski,Kimberly Klacik,,,,,D,,,0.3999999999999986,18.3,21.25,11.84,7.88,,,,,,,1.0,25.7
,House,MD03,2026,Sarah Elfreth,Robert Steinberger,,,,,D,,,-2.150000000000002,23.55,26.06,14.72,7.74,,,,,,,1.0,28.9
,House,MD04,2026,Glenn Ivey,George McDermott,,,,,D,,,4.3799999999999955,73.22,82.37,84.65,83.16,,,,,,,1.0,81.6
,House,MD05,2026,Steny Hoyer,Michelle Talkington,,,,,D,,,2.719999999999999,33.08,37.1,25.24,27.78,,,,,,,1.0,40.58
,House,MD06,2026,April McClain-Delaney,Neil Parrott,,,,,D,,,0.6699999999999999,5.73,10.03,1.28,1.27,,,,,,,1.0,14.965
,House,MD07,2026,Kweisi Mfume,Scott Collier,,,,,D,,,4.640000000000001,58.56,64.51,63.15,67.69,,,,,,,1.0,67.2
,House,MD08,2026,Jamie Raskin,Cheryl Riley,,,,,D,,,0.6599999999999966,55.84,63.6,60.98,46.26,,,,,,,1.0,62.0
,House,ME01,2026,Chellie Pingree,Ronald Russell,,,,,D,,,0.7999999999999972,21.1,23.47,15.49,22.02,,,,,,,1.0,28.4
,House,ME02,2026,Jared Golden,Austin Theriault,,,,,D,,,9.48,-8.98,-6.3,-9.79,9.24,,,,,,,0.9013754755633596,7.52
,House,MI01,2026,Callie Barr,Jack Bergman,,,,,R,,,-0.060000000000002274,-21.24,-20.09,-24.63,-8.95,,,,,,,0.1621305238513316,-9.622499999999999
,House,MI02,2026,Michael Lynch,John Moolenaar,,,,,R,,,-3.5199999999999996,-29.88,-28.7,-29.86,-10.11,,,,,,,0.030875036581796897,-19.89999999999999
,House,MI03,2026,Hillary Scholten,Paul Hudson,,,,,D,,,1.9600000000000009,7.84,8.66,0.16,-2.47,,,,,,,1.0,17.84
,House,MI04,2026,Jessica Swartz,Bill Huizenga,,,,,R,,,-6.130000000000001,-5.67,-4.02,-10.05,-5.98,,,,,,,0.5537020778460638,0.8300000000000001
,House,MI05,2026,Libbi Urban,Tim Walberg,,,,,R,,,-5.82,-27.08,-24.59,-26.83,-8.38,,,,,,,0.03906935908691835,-18.08
,House,MI06,2026,Debbie Dingell,Heather Smiley,,,,,D,,,3.8099999999999987,23.19,27.03,21.86,19.71,,,,,,,1.0,31.69
,House,MI07,2026,Curtis Hertel Jr.,Tom Barrett,,,,,R,,,-2.41,-1.29,0.96,-4.03,2.6,,,,,,,0.9224465905765291,6.3
,House,MI08,2026,Kristen McDonald Rivet,Paul Junge,,,,,D,,,8.69,-1.99,2.06,1.11,17,,,,,,,0.9925373134328358,12.7
,House,MI09,2026,Clinton St. Mosley,Lisa McClain,,,,,R,,,-4.969999999999999,-32.33,-29.88,-34.78,-14.61,,,,,,,0.014925373134328358,-22.83
,House,MI10,2026,,,,,,,OPEN,,,0,-6.55,-0.99,-5.64,6.54,,,,,,,0.7791922739244952,3.6475
,House,MI11,2026,,,,,,,OPEN,,,0,16.1,20.1,14.6,13.34,,,,,,,1.0,23.575000000000003
,House,MI12,2026,Rashida Tlaib,James Hooper,,,,,D,,,6.609999999999999,37.69,49.07,48.97,53.35,,,,,,,1.0,47.3
,House,MI13,2026,Shri Thanedar,Martell Bivings,,,,,D,,,2.719999999999999,41.38,50.18,53.1,64.02,,,,,,,1.0,48.88
,House,MN01,2026,Rachel Bohman,Brad Finstad,,,,,R,,,-5.199999999999999,-12,-9.41,-15.25,1.97,,,,,,,0.2835820895522388,-4.045
,House,MN02,2026,,,,,,,OPEN,,,0,5.83,7.33,-1.17,-0.23,,,,,,,1.0,16.415
,House,MN03,2026,Kelly Morrison,Tad Jude,,,,,D,,,-4.27,21.27,21.4,12.06,3.25,,,,,,,1.0,25.77
,House,MN04,2026,Betty McCollum,May Lor Xiong,,,,,D,,,14.719999999999999,35.68,38.41,34.05,27.62,,,,,,,1.0,47.68
,House,MN05,2026,Illhan Omar,Dalia al-Aqidi,,,,,D,,,-27.060000000000002,61.86,64.41,60.47,51.56,,,,,,,1.0,44.3
,House,MN06,2026,Jeanne Hendricks,Tom Emmer,,,,,R,,,-5.329999999999998,-19.67,-18.04,-25.93,-15.53,,,,,,,0.14413227977758267,-10.700000000000001
,House,MN07,2026,A.J. Peters,Michelle Fischbach,,,,,R,,,-4.520000000000003,-36.48,-33.83,-36.74,-13.32,,,,,,,0.0030728709394205445,-26.979999999999997
,House,MN08,2026,Jennifer Schultz,Pete Stauber,,,,,R,,,-1.7100000000000009,-14.29,-11.54,-13.9,7.1,,,,,,,0.2553409423470881,-4.48
,House,MO01,2026,Wesley Bell,Andrew Jones,,,,,D,,,0.3999999999999986,57.1,59.33,56.41,56.15,,,,,,,1.0,63.0
